block_practice_file,correct_answer,thisN,thisTrialN,thisRepN,stimuli_no,stimulus,valence,sex,switch_condition,BI_condition,minus1_valence,minus2_valence,switch_type,BI_type,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,loop_block_practice.thisRepN,loop_block_practice.thisTrialN,loop_block_practice.thisN,loop_block_practice.thisIndex,thisRow.t,notes,welcome.started,image_welcome.started,key_resp_welcome.started,welcome.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,practice_instruct.started,image_practice_instruct.started,key_resp_practice_instruct.started,practice_instruct.stopped,key_resp_practice_instruct.keys,key_resp_practice_instruct.rt,key_resp_practice_instruct.duration,fixation.started,text_fixation.started,fixation.stopped,answer_block_practice.started,text_answer_block_practice.started,textbox_answer_block_practice1.started,textbox_answer_block_practice2.started,textbox_answer_block_practice3.started,button_text_block_practice.started,mouse_block_practice.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
block_practice_1.xlsx,688,8,8,0,9,faces/NEM4.bmp,neutral,male,s,nonBI,sad,sad,sn,snh1,0,0,0,0,0,8,8,8,2.228194583000004,,,,,,,,,,,,,,,,,,,,,,,,,,129525,001,2025-08-01_17h10.44.988,TIST,2024.2.4,None,2025-08-01 17h10.49.992961 +0800,
block_practice_1.xlsx,688,9,9,0,10,faces/HAF59.bmp,happy,female,s,control,neutral,sad,nh,snh,0,0,0,0,0,9,9,9,2.228194583000004,,,,,,,,,,,,,,,,,,,,,,,,,,129525,001,2025-08-01_17h10.44.988,TIST,2024.2.4,None,2025-08-01 17h10.49.992961 +0800,
block_practice_1.xlsx,688,10,10,0,11,faces/HAF107.bmp,happy,female,ns,nonBI,happy,neutral,hh,non,0,0,0,0,0,10,10,10,2.228194583000004,,,,,,,,,,,,,,,,,,,,,,,,,,129525,001,2025-08-01_17h10.44.988,TIST,2024.2.4,None,2025-08-01 17h10.49.992961 +0800,
block_practice_1.xlsx,688,11,11,0,12,faces/HAM9.bmp,happy,male,ns,nonBI,happy,happy,hh,non,0,0,0,0,0,11,11,11,2.228194583000004,,,,,,,,,,,,,,,,,,,,,,,,,,129525,001,2025-08-01_17h10.44.988,TIST,2024.2.4,None,2025-08-01 17h10.49.992961 +0800,
block_practice_1.xlsx,688,12,12,0,13,faces/NEM5.bmp,neutral,male,s,nonBI,happy,happy,hn,hnh1,0,0,0,0,0,12,12,12,2.228194583000004,,,,,,,,,,,,,,,,,,,,,,,,,,129525,001,2025-08-01_17h10.44.988,TIST,2024.2.4,None,2025-08-01 17h10.49.992961 +0800,
block_practice_1.xlsx,688,13,13,0,14,faces/HAM38.bmp,happy,male,s,BI,neutral,happy,nh,hnh,0,0,0,0,0,13,13,13,2.228194583000004,,,,,,,,,,,,,,,,,,,,,,,,,,129525,001,2025-08-01_17h10.44.988,TIST,2024.2.4,None,2025-08-01 17h10.49.992961 +0800,
block_practice_1.xlsx,688,14,14,0,15,faces/HAF110.bmp,happy,female,ns,nonBI,happy,neutral,hh,non,0,0,0,0,0,14,14,14,2.228194583000004,,,,,,,,,,,,,,,,,,,,,,,,,,129525,001,2025-08-01_17h10.44.988,TIST,2024.2.4,None,2025-08-01 17h10.49.992961 +0800,
block_practice_1.xlsx,688,15,15,0,16,faces/SAM7.bmp,sad,male,s,nonBI,happy,happy,hs,hsn1,0,0,0,0,0,15,15,15,2.228194583000004,,,,,,,,,,,,,,,,,,,,,,,,,,129525,001,2025-08-01_17h10.44.988,TIST,2024.2.4,None,2025-08-01 17h10.49.992961 +0800,
block_practice_1.xlsx,688,16,16,0,17,faces/NEF35.bmp,neutral,female,s,control,sad,happy,sn,hsn,0,0,0,0,0,16,16,16,2.228194583000004,,,,,,,,,,,,,,,,,,,,,,,,,,129525,001,2025-08-01_17h10.44.988,TIST,2024.2.4,None,2025-08-01 17h10.49.992961 +0800,
block_practice_1.xlsx,688,17,17,0,18,faces/NEM6.bmp,neutral,male,ns,nonBI,neutral,sad,nn,non,0,0,0,0,0,17,17,17,2.228194583000004,,,,,,,,,,,,,,,,,,,,,,,,,,129525,001,2025-08-01_17h10.44.988,TIST,2024.2.4,None,2025-08-01 17h10.49.992961 +0800,
block_practice_1.xlsx,688,18,18,0,19,faces/SAF20.bmp,sad,female,s,nonBI,neutral,neutral,ns,nsn1,0,0,0,0,0,18,18,18,2.228194583000004,,,,,,,,,,,,,,,,,,,,,,,,,,129525,001,2025-08-01_17h10.44.988,TIST,2024.2.4,None,2025-08-01 17h10.49.992961 +0800,
block_practice_1.xlsx,688,19,19,0,20,faces/NEM15.bmp,neutral,male,s,BI,sad,neutral,sn,nsn,0,0,0,0,0,19,19,19,2.228194583000004,,,,,,,,,,,,,,,,,,,,,,,,,,129525,001,2025-08-01_17h10.44.988,TIST,2024.2.4,None,2025-08-01 17h10.49.992961 +0800,
block_practice_1.xlsx,688,20,20,0,21,faces/NEM59.bmp,neutral,male,ns,nonBI,neutral,sad,nn,non,0,0,0,0,0,20,20,20,2.228194583000004,,,,,,,,,,,,,,,,,,,,,,,,,,129525,001,2025-08-01_17h10.44.988,TIST,2024.2.4,None,2025-08-01 17h10.49.992961 +0800,
block_practice_1.xlsx,688,21,21,0,22,faces/SAF32.bmp,sad,female,s,nonBI,neutral,neutral,ns,non,0,0,0,0,0,21,21,21,2.228194583000004,,,,,,,,,,,,,,,,,,,,,,,,,,129525,001,2025-08-01_17h10.44.988,TIST,2024.2.4,None,2025-08-01 17h10.49.992961 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21734083299998,2.228194583000004,2.228194583000004,2.228194583000004,2.228194583000004,2.228194583000004,0.025369791000002806,,,,,,,,
